,Supply_ID,val,date
0,SUPPLY001,0.457,2023-12-27
1,SUPPLY001,0.458,2023-12-27
2,SUPPLY001,0.458,2023-12-27
3,SUPPLY001,0.458,2023-12-27
4,SUPPLY001,0.457,2023-12-27
5,SUPPLY001,0.458,2023-12-27
6,SUPPLY001,0.458,2023-12-27
7,SUPPLY001,0.458,2023-12-27
8,SUPPLY001,0.457,2023-12-27
9,SUPPLY001,0.458,2023-12-27
10,SUPPLY001,0.458,2023-12-27
11,SUPPLY001,0.458,2023-12-27
12,SUPPLY001,0.295,2023-12-27
13,SUPPLY001,0.295,2023-12-27
14,SUPPLY001,0.295,2023-12-27
15,SUPPLY001,0.295,2023-12-27
16,SUPPLY001,0.295,2023-12-28
17,SUPPLY001,0.294,2023-12-28
18,SUPPLY001,0.295,2023-12-28
19,SUPPLY001,0.295,2023-12-28
20,SUPPLY001,0.295,2023-12-28
21,SUPPLY001,0.295,2023-12-28
22,SUPPLY001,0.294,2023-12-28
23,SUPPLY001,0.295,2023-12-28
24,SUPPLY001,0.295,2023-12-28
25,SUPPLY001,0.295,2023-12-28
26,SUPPLY001,0.295,2023-12-28
27,SUPPLY001,0.294,2023-12-28
28,SUPPLY001,0.295,2023-12-28
29,SUPPLY001,0.295,2023-12-28
30,SUPPLY001,0.295,2023-12-28
31,SUPPLY001,0.295,2023-12-28
32,SUPPLY001,0.294,2023-12-28
33,SUPPLY001,0.295,2023-12-28
34,SUPPLY001,0.295,2023-12-28
35,SUPPLY001,0.295,2023-12-28
36,SUPPLY001,0.295,2023-12-28
37,SUPPLY001,0.294,2023-12-28
38,SUPPLY001,0.295,2023-12-28
39,SUPPLY001,0.295,2023-12-28
40,SUPPLY001,0.295,2023-12-28
41,SUPPLY001,0.295,2023-12-28
42,SUPPLY001,0.294,2023-12-28
43,SUPPLY001,0.295,2023-12-28
44,SUPPLY001,0.458,2023-12-28
45,SUPPLY001,0.457,2023-12-28
46,SUPPLY001,0.458,2023-12-28
47,SUPPLY001,0.458,2023-12-28
48,SUPPLY001,0.453,2023-12-28
49,SUPPLY001,0.452,2023-12-28
50,SUPPLY001,0.452,2023-12-28
51,SUPPLY001,0.452,2023-12-28
52,SUPPLY001,0.453,2023-12-28
53,SUPPLY001,0.452,2023-12-28
54,SUPPLY001,0.452,2023-12-28
55,SUPPLY001,0.453,2023-12-28
56,SUPPLY001,0.452,2023-12-28
57,SUPPLY001,0.452,2023-12-28
58,SUPPLY001,0.453,2023-12-28
59,SUPPLY001,0.452,2023-12-28
60,SUPPLY001,0.452,2023-12-28
61,SUPPLY001,0.452,2023-12-28
62,SUPPLY001,0.453,2023-12-28
63,SUPPLY001,0.452,2023-12-28
64,SUPPLY001,0.452,2023-12-28
65,SUPPLY001,0.453,2023-12-28
66,SUPPLY001,0.452,2023-12-28
67,SUPPLY001,0.452,2023-12-28
68,SUPPLY001,0.453,2023-12-28
69,SUPPLY001,0.452,2023-12-28
70,SUPPLY001,0.452,2023-12-28
71,SUPPLY001,0.452,2023-12-28
72,SUPPLY001,0.453,2023-12-28
73,SUPPLY001,0.452,2023-12-28
74,SUPPLY001,0.452,2023-12-28
75,SUPPLY001,0.453,2023-12-28
76,SUPPLY001,0.452,2023-12-28
77,SUPPLY001,0.452,2023-12-28
78,SUPPLY001,0.453,2023-12-28
79,SUPPLY001,0.452,2023-12-28
80,SUPPLY001,0.452,2023-12-28
81,SUPPLY001,0.452,2023-12-28
82,SUPPLY001,0.453,2023-12-28
83,SUPPLY001,0.452,2023-12-28
84,SUPPLY001,0.452,2023-12-28
85,SUPPLY001,0.453,2023-12-28
86,SUPPLY001,0.452,2023-12-28
87,SUPPLY001,0.452,2023-12-28
88,SUPPLY001,0.453,2023-12-28
89,SUPPLY001,0.452,2023-12-28
90,SUPPLY001,0.452,2023-12-28
91,SUPPLY001,0.453,2023-12-28
92,SUPPLY001,0.457,2023-12-28
93,SUPPLY001,0.458,2023-12-28
94,SUPPLY001,0.458,2023-12-28
95,SUPPLY001,0.458,2023-12-28
96,SUPPLY001,0.457,2023-12-28
97,SUPPLY001,0.458,2023-12-28
98,SUPPLY001,0.458,2023-12-28
99,SUPPLY001,0.458,2023-12-28
100,SUPPLY001,0.457,2023-12-28
101,SUPPLY001,0.458,2023-12-28
102,SUPPLY001,0.458,2023-12-28
103,SUPPLY001,0.458,2023-12-28
104,SUPPLY001,0.457,2023-12-28
105,SUPPLY001,0.458,2023-12-28
106,SUPPLY001,0.458,2023-12-28
107,SUPPLY001,0.458,2023-12-28
108,SUPPLY001,0.295,2023-12-28
109,SUPPLY001,0.295,2023-12-28
110,SUPPLY001,0.295,2023-12-28
111,SUPPLY001,0.295,2023-12-28
112,SUPPLY001,0.295,2023-12-29
113,SUPPLY001,0.294,2023-12-29
114,SUPPLY001,0.295,2023-12-29
115,SUPPLY001,0.295,2023-12-29
116,SUPPLY001,0.295,2023-12-29
117,SUPPLY001,0.295,2023-12-29
118,SUPPLY001,0.294,2023-12-29
119,SUPPLY001,0.295,2023-12-29
120,SUPPLY001,0.295,2023-12-29
121,SUPPLY001,0.295,2023-12-29
122,SUPPLY001,0.295,2023-12-29
123,SUPPLY001,0.294,2023-12-29
124,SUPPLY001,0.295,2023-12-29
125,SUPPLY001,0.295,2023-12-29
126,SUPPLY001,0.295,2023-12-29
127,SUPPLY001,0.295,2023-12-29
128,SUPPLY001,0.294,2023-12-29
129,SUPPLY001,0.295,2023-12-29
130,SUPPLY001,0.295,2023-12-29
131,SUPPLY001,0.295,2023-12-29
132,SUPPLY001,0.295,2023-12-29
133,SUPPLY001,0.294,2023-12-29
134,SUPPLY001,0.295,2023-12-29
135,SUPPLY001,0.295,2023-12-29
136,SUPPLY001,0.295,2023-12-29
137,SUPPLY001,0.295,2023-12-29
138,SUPPLY001,0.294,2023-12-29
139,SUPPLY001,0.295,2023-12-29
140,SUPPLY001,0.458,2023-12-29
141,SUPPLY001,0.457,2023-12-29
142,SUPPLY001,0.458,2023-12-29
143,SUPPLY001,0.458,2023-12-29
144,SUPPLY001,0.453,2023-12-29
145,SUPPLY001,0.452,2023-12-29
146,SUPPLY001,0.452,2023-12-29
147,SUPPLY001,0.452,2023-12-29
148,SUPPLY001,0.453,2023-12-29
149,SUPPLY001,0.452,2023-12-29
150,SUPPLY001,0.452,2023-12-29
151,SUPPLY001,0.453,2023-12-29
152,SUPPLY001,0.452,2023-12-29
153,SUPPLY001,0.452,2023-12-29
154,SUPPLY001,0.453,2023-12-29
155,SUPPLY001,0.452,2023-12-29
156,SUPPLY001,0.452,2023-12-29
157,SUPPLY001,0.452,2023-12-29
158,SUPPLY001,0.453,2023-12-29
159,SUPPLY001,0.452,2023-12-29
160,SUPPLY001,0.452,2023-12-29
161,SUPPLY001,0.453,2023-12-29
162,SUPPLY001,0.452,2023-12-29
163,SUPPLY001,0.452,2023-12-29
164,SUPPLY001,0.453,2023-12-29
165,SUPPLY001,0.452,2023-12-29
166,SUPPLY001,0.452,2023-12-29
167,SUPPLY001,0.452,2023-12-29
168,SUPPLY001,0.453,2023-12-29
169,SUPPLY001,0.452,2023-12-29
170,SUPPLY001,0.452,2023-12-29
171,SUPPLY001,0.453,2023-12-29
172,SUPPLY001,0.452,2023-12-29
173,SUPPLY001,0.452,2023-12-29
174,SUPPLY001,0.453,2023-12-29
175,SUPPLY001,0.452,2023-12-29
176,SUPPLY001,0.452,2023-12-29
177,SUPPLY001,0.452,2023-12-29
178,SUPPLY001,0.453,2023-12-29
179,SUPPLY001,0.452,2023-12-29
180,SUPPLY001,0.452,2023-12-29
181,SUPPLY001,0.453,2023-12-29
182,SUPPLY001,0.452,2023-12-29
183,SUPPLY001,0.452,2023-12-29
184,SUPPLY001,0.453,2023-12-29
185,SUPPLY001,0.452,2023-12-29
186,SUPPLY001,0.452,2023-12-29
187,SUPPLY001,0.453,2023-12-29
188,SUPPLY001,0.457,2023-12-29
189,SUPPLY001,0.458,2023-12-29
190,SUPPLY001,0.458,2023-12-29
191,SUPPLY001,0.458,2023-12-29
192,SUPPLY001,0.457,2023-12-29
193,SUPPLY001,0.458,2023-12-29
194,SUPPLY001,0.458,2023-12-29
195,SUPPLY001,0.458,2023-12-29
196,SUPPLY001,0.457,2023-12-29
197,SUPPLY001,0.458,2023-12-29
198,SUPPLY001,0.458,2023-12-29
199,SUPPLY001,0.458,2023-12-29
200,SUPPLY001,0.457,2023-12-29
201,SUPPLY001,0.458,2023-12-29
202,SUPPLY001,0.458,2023-12-29
203,SUPPLY001,0.458,2023-12-29
204,SUPPLY001,0.295,2023-12-29
205,SUPPLY001,0.295,2023-12-29
206,SUPPLY001,0.295,2023-12-29
207,SUPPLY001,0.295,2023-12-29
208,SUPPLY001,0.295,2023-12-30
209,SUPPLY001,0.294,2023-12-30
210,SUPPLY001,0.295,2023-12-30
211,SUPPLY001,0.295,2023-12-30
212,SUPPLY001,0.295,2023-12-30
213,SUPPLY001,0.295,2023-12-30
214,SUPPLY001,0.294,2023-12-30
215,SUPPLY001,0.295,2023-12-30
216,SUPPLY001,0.295,2023-12-30
217,SUPPLY001,0.295,2023-12-30
218,SUPPLY001,0.295,2023-12-30
219,SUPPLY001,0.294,2023-12-30
220,SUPPLY001,0.295,2023-12-30
221,SUPPLY001,0.295,2023-12-30
222,SUPPLY001,0.295,2023-12-30
223,SUPPLY001,0.295,2023-12-30
224,SUPPLY001,0.294,2023-12-30
225,SUPPLY001,0.295,2023-12-30
226,SUPPLY001,0.295,2023-12-30
227,SUPPLY001,0.295,2023-12-30
228,SUPPLY001,0.295,2023-12-30
229,SUPPLY001,0.294,2023-12-30
230,SUPPLY001,0.295,2023-12-30
231,SUPPLY001,0.295,2023-12-30
232,SUPPLY001,0.295,2023-12-30
233,SUPPLY001,0.295,2023-12-30
234,SUPPLY001,0.294,2023-12-30
235,SUPPLY001,0.295,2023-12-30
236,SUPPLY001,0.458,2023-12-30
237,SUPPLY001,0.457,2023-12-30
238,SUPPLY001,0.458,2023-12-30
239,SUPPLY001,0.458,2023-12-30
240,SUPPLY001,0.458,2023-12-30
241,SUPPLY001,0.457,2023-12-30
242,SUPPLY001,0.458,2023-12-30
243,SUPPLY001,0.458,2023-12-30
244,SUPPLY001,0.458,2023-12-30
245,SUPPLY001,0.458,2023-12-30
246,SUPPLY001,0.457,2023-12-30
247,SUPPLY001,0.458,2023-12-30
248,SUPPLY001,0.458,2023-12-30
249,SUPPLY001,0.458,2023-12-30
250,SUPPLY001,0.457,2023-12-30
251,SUPPLY001,0.458,2023-12-30
252,SUPPLY001,0.458,2023-12-30
253,SUPPLY001,0.458,2023-12-30
254,SUPPLY001,0.458,2023-12-30
255,SUPPLY001,0.457,2023-12-30
256,SUPPLY001,0.458,2023-12-30
257,SUPPLY001,0.458,2023-12-30
258,SUPPLY001,0.458,2023-12-30
259,SUPPLY001,0.457,2023-12-30
260,SUPPLY001,0.458,2023-12-30
261,SUPPLY001,0.458,2023-12-30
262,SUPPLY001,0.458,2023-12-30
263,SUPPLY001,0.458,2023-12-30
264,SUPPLY001,0.457,2023-12-30
265,SUPPLY001,0.458,2023-12-30
266,SUPPLY001,0.458,2023-12-30
