Supply_ID,Period_Start_Date,Period_End_Date,Period_Index,Mean_Consumption_Period,Max_Consumption_Period,Min_Consumption_Period,Std_Consumption_Period,Median_Consumption_Period,IQR_Consumption_Period,Num_Zero_Readings_Period,Daily_Avg_Change_Period,Daily_Std_Change_Period,Max_Daily_Consumption,Min_Daily_Consumption,Trend_Period,Period_Total_Consumption_Ratio_to_Supply_Total,Is_Non_Regular,anomaly_prediction_ocsvm,anomaly_score_ocsvm
SUPPLY001,2022-10-20,2022-10-30,1,0.3318979166666667,0.417,0.0,0.0999688898210194,0.384,0.1439999999999999,50,1.691555555555556,6.898535154493145,34.665,18.049,0.0001265573204832,0.0228080056441979,1,1,0.983483446325554
SUPPLY001,2022-10-30,2022-11-09,2,0.3326937499999999,0.417,0.271,0.0665391756818278,0.272,0.1439999999999999,0,0.958,6.550138109230978,34.665,26.042,5.672859074282835e-05,0.0228626952648523,1,1,0.5927768557241322
SUPPLY001,2022-11-09,2022-11-19,3,0.3506541666666667,0.417,0.271,0.0659278936168942,0.384,0.1449999999999999,0,0.0,4.008532586870162,34.665,26.043000000000003,1.983203920577165e-05,0.0240969340597794,1,1,0.5474004671859376
SUPPLY001,2022-11-19,2022-11-29,4,0.3402260416666666,0.417,0.271,0.0655479824804379,0.384,0.1439999999999999,0,0.1545555555555553,5.644817980039549,34.665,26.043000000000003,1.371840545616919e-05,0.0233803139126958,1,1,0.6012440253621776
SUPPLY001,2022-11-29,2022-12-09,5,0.3416739583333334,0.417,0.271,0.0668397219831477,0.384,0.1439999999999999,0,-0.9578888888888888,4.931845102100338,34.665,26.043000000000003,-4.5013741063087086e-05,0.0234798146623159,1,1,0.38933588698917987
SUPPLY001,2022-12-09,2022-12-19,6,0.3402270833333333,0.417,0.271,0.0655468573358336,0.384,0.1439999999999999,0,-0.9578888888888888,4.670420255299421,34.664,26.043000000000003,-1.2355238015666178e-05,0.023380385495969,1,1,0.4137943809798337
SUPPLY001,2022-12-19,2022-12-29,7,0.3416739583333333,0.417,0.271,0.0668397375839422,0.384,0.1439999999999999,0,0.0001111111111116,4.00826372773937,34.665,26.043000000000003,-3.5595531516418884e-05,0.0234798146623159,1,1,0.5401377986845901
SUPPLY001,2022-12-29,2023-01-08,8,0.3402260416666666,0.417,0.271,0.0655479824804381,0.384,0.1439999999999999,0,-0.1545555555555553,5.644436156763383,34.664,26.043000000000003,-1.5981293111212614e-05,0.0233803139126958,1,1,0.5992442793356716
SUPPLY001,2023-01-08,2023-01-18,9,0.3416739583333334,0.417,0.271,0.0668397219831477,0.384,0.1439999999999999,0,0.9576666666666662,4.930942075303662,34.665,26.044,2.9930092968850656e-05,0.0234798146623159,1,1,0.4196638384684519
SUPPLY001,2023-01-18,2023-01-28,10,0.3506552083333333,0.417,0.271,0.0659289034227467,0.384,0.1449999999999999,0,0.0,4.008532618053643,34.665,26.043000000000003,1.9817139829795756e-05,0.0240970056430525,1,1,0.5474140308027096
SUPPLY001,2023-01-28,2023-02-07,11,0.3399822916666666,0.418,0.0,0.0666340033735587,0.384,0.1449999999999999,1,0.1606666666666664,5.6473603568392905,34.719,26.043000000000003,1.3392965649919429e-05,0.0233635634267886,1,1,1.560238169204041
SUPPLY001,2023-02-07,2023-02-17,12,0.350978125,0.418,0.271,0.0662491941487966,0.384,0.1449999999999999,0,-0.0044444444444451,4.025518324114024,34.719,26.043000000000003,6.268554707633075e-06,0.024119196457716,1,1,0.5562842286161391
SUPPLY001,2023-02-17,2023-02-27,13,0.3403083333333334,0.418,0.271,0.065640255182714,0.384,0.1449999999999999,0,-0.9591111111111112,4.674029643798926,34.679,26.043000000000003,-1.237673597736152e-05,0.0233859689912714,1,1,0.41385323943192276
SUPPLY001,2023-02-27,2023-03-09,14,0.3507635416666667,0.418,0.271,0.066038059964518,0.384,0.1449999999999999,0,0.0,4.012100727798343,34.678,26.044,-6.2695177078104045e-06,0.0241044503034558,1,1,0.5563106871119601
SUPPLY001,2023-03-09,2023-03-19,15,0.3493020833333334,0.418,0.271,0.06491539690073,0.384,0.1449999999999999,0,-0.1559999999999995,4.039304055156037,34.678,26.044,2.4600707574552378e-05,0.0240040189712853,1,1,0.5377196885114799
SUPPLY001,2023-03-19,2023-03-29,16,0.340640625,0.418,0.0,0.0703355358800505,0.384,0.1449999999999999,4,0.959222222222222,5.382623263283845,34.678,24.959000000000003,2.698240368099356e-05,0.0234088040553928,1,1,1.4250903947787172
