,Supply_ID,Period_Start_Date,Period_End_Date,Period_Index,Mean_Consumption_Period,Max_Consumption_Period,Min_Consumption_Period,Std_Consumption_Period,Median_Consumption_Period,IQR_Consumption_Period,Num_Zero_Readings_Period,Daily_Avg_Change_Period,Daily_Std_Change_Period,Max_Daily_Consumption,Min_Daily_Consumption,Trend_Period,Period_Total_Consumption_Ratio_to_Supply_Total
0,SUPPLY001,2022-10-20,2022-10-30,1,0.3318979166666667,0.417,0.0,0.09996888982101941,0.384,0.14399999999999996,50,1.691555555555556,6.898535154493145,34.665,18.049,0.00012655732048320366,0.02280800564419792
1,SUPPLY001,2022-10-30,2022-11-09,2,0.33269374999999995,0.417,0.271,0.06653917568182785,0.272,0.14399999999999996,0,0.958,6.550138109230978,34.665,26.042,5.672859074282835e-05,0.022862695264852382
2,SUPPLY001,2022-11-09,2022-11-19,3,0.3506541666666667,0.417,0.271,0.06592789361689429,0.384,0.14499999999999996,0,0.0,4.008532586870162,34.665,26.043000000000003,1.983203920577165e-05,0.024096934059779484
3,SUPPLY001,2022-11-19,2022-11-29,4,0.34022604166666665,0.417,0.271,0.06554798248043793,0.384,0.14399999999999996,0,0.15455555555555536,5.644817980039549,34.665,26.043000000000003,1.371840545616919e-05,0.023380313912695894
4,SUPPLY001,2022-11-29,2022-12-09,5,0.3416739583333334,0.417,0.271,0.06683972198314772,0.384,0.14399999999999996,0,-0.9578888888888888,4.931845102100338,34.665,26.043000000000003,-4.5013741063087086e-05,0.023479814662315936
5,SUPPLY001,2022-12-09,2022-12-19,6,0.3402270833333333,0.417,0.271,0.06554685733583362,0.384,0.14399999999999996,0,-0.9578888888888888,4.670420255299421,34.664,26.043000000000003,-1.2355238015666178e-05,0.023380385495969002
6,SUPPLY001,2022-12-19,2022-12-29,7,0.3416739583333333,0.417,0.271,0.06683973758394224,0.384,0.14399999999999996,0,0.00011111111111164164,4.00826372773937,34.665,26.043000000000003,-3.5595531516418884e-05,0.02347981466231593
7,SUPPLY001,2022-12-29,2023-01-08,8,0.34022604166666665,0.417,0.271,0.06554798248043815,0.384,0.14399999999999996,0,-0.15455555555555536,5.6444361567633825,34.664,26.043000000000003,-1.5981293111212614e-05,0.023380313912695894
8,SUPPLY001,2023-01-08,2023-01-18,9,0.3416739583333334,0.417,0.271,0.06683972198314778,0.384,0.14399999999999996,0,0.9576666666666662,4.930942075303662,34.665,26.044,2.9930092968850656e-05,0.023479814662315936
9,SUPPLY001,2023-01-18,2023-01-28,10,0.35065520833333336,0.417,0.271,0.0659289034227467,0.384,0.14499999999999996,0,0.0,4.008532618053643,34.665,26.043000000000003,1.9817139829795753e-05,0.024097005643052588
