date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
2019/01/01,"0,002","0,014","0,02","0,007","0,002","0,002","0,003","0,002","0,002","0,002","0,008","0,021","0,012","0,002","0,002","0,002","0,002","0,002","0,003","0,002","0,017","0,019","0,003","0,002","0,003","0,002","0,002","0,002","0,002","0,007","0,021","0,012","0,002","0,002","0,002","0,002","0,002","0,003","0,002","0,014","0,019","0,005","0,002","0,003","0,002","0,002","0,002","0,002","0,003","0,021","0,015","0,002","0,002","0,002","0,003","0,002","0,003","0,002","0,01","0,02","0,009","0,023","0,041","0,041","0,022","0,015","0,016","0,02","0,009","0,01","0,008","0,002","0,002","0,002","0,002","0,009","0,02","0,009","0,002","0,003","0,002","0,002","0,002","0,002","0,002","0,02","0,017","0,002","0,002","0,002","0,002","0,003","0,002","0,002","0,01","0,02"
2019/01/02,"0,008","0,002","0,003","0,002","0,002","0,002","0,002","0,003","0,017","0,019","0,002","0,002","0,002","0,002","0,003","0,002","0,002","0,004","0,021","0,014","0,002","0,002","0,002","0,002","0,002","0,002","0,003","0,009","0,02","0,009","0,002","0,003","0,011","0,006","0,006","0,006","0,023","0,03","0,041","0,017","0,002","0,002","0,002","0,002","0,003","0,002","0,002","0,017","0,019","0,003","0,002","0,002","0,003","0,002","0,003","0,002","0,003","0,021","0,017","0,008","0,027","0,031","0,011","0,009","0,025","0,009","0,003","0,016","0,017","0,024","0,002","0,002","0,002","0,002","0,002","0,003","0,002","0,02","0,014","0,002","0,003","0,002","0,002","0,002","0,002","0,002","0,016","0,019","0,003","0,002","0,003","0,002","0,002","0,002","0,002","0,009"
2019/01/03,"0,02","0,01","0,002","0,002","0,002","0,002","0,002","0,003","0,002","0,017","0,019","0,002","0,002","0,003","0,002","0,002","0,002","0,003","0,005","0,02","0,013","0,002","0,002","0,003","0,002","0,002","0,002","0,002","0,011","0,02","0,008","0,002","0,002","0,002","0,009","0,011","0,013","0,015","0,025","0,037","0,006","0,016","0,011","0,006","0,008","0,003","0,002","0,002","0,008","0,021","0,01","0,002","0,004","0,011","0,192","0,139","0,012","0,025","0,016","0,006","0,01","0,024","0,009","0,007","0,032","0,019","0,007","0,006","0,006","0,013","0,027","0,006","0,006","0,025","0,017","0,006","0,006","0,006","0,006","0,006","0,028","0,012","0,023","0,026","0,01","0,009","0,009","0,01","0,009","0,009","0,009","0,01","0,025","0,024","0,009","0,009"
2019/01/04,"0,01","0,009","0,009","0,009","0,009","0,002","0,018","0,018","0,002","0,002","0,002","0,002","0,002","0,003","0,002","0,002","0,014","0,019","0,005","0,002","0,002","0,002","0,003","0,002","0,002","0,002","0,006","0,02","0,012","0,003","0,004","0,023","0,022","0,007","0,009","0,002","0,008","0,006","0,023","0,02","0,009","0,007","0,006","0,006","0,003","0,003","0,006","0,007","0,021","0,011","0,003","0,004","0,007","0,01","0,008","0,007","0,014","0,024","0,011","0,01","0,006","0,013","0,013","0,013","0,013","0,012","0,029","0,027","0,028","0,012","0,004","0,002","0,002","0,003","0,009","0,01","0,009","0,032","0,021","0,007","0,009","0,009","0,009","0,01","0,009","0,009","0,009","0,02","0,027","0,012","0,014","0,015","0,009","0,009","0,009","0,009"
2019/01/05,"0,009","0,009","0,028","0,016","0,002","0,002","0,003","0,002","0,002","0,002","0,002","0,003","0,009","0,02","0,009","0,002","0,002","0,002","0,003","0,002","0,002","0,002","0,002","0,015","0,019","0,004","0,002","0,007","0,025","0,012","0,013","0,013","0,013","0,027","0,026","0,009","0,012","0,017","0,016","0,009","0,008","0,003","0,002","0,009","0,02","0,008","0,003","0,005","0,008","0,002","0,006","0,024","0,015","0,007","0,007","0,007","0,007","0,008","0,021","0,03","0,013","0,014","0,015","0,004","0,003","0,002","0,002","0,002","0,019","0,022","0,002","0,01","0,028","0,025","0,035","0,009","0,023","0,015","0,016","0,028","0,018","0,009","0,01","0,009","0,002","0,003","0,008","0,009","0,009","0,017","0,027","0,015","0,009","0,01","0,009","0,009"
2019/01/06,"0,009","0,009","0,01","0,009","0,013","0,02","0,007","0,003","0,002","0,002","0,002","0,002","0,002","0,003","0,002","0,011","0,019","0,008","0,002","0,002","0,003","0,002","0,002","0,002","0,002","0,002","0,015","0,038","0,019","0,013","0,013","0,01","0,009","0,019","0,016","0,01","0,011","0,021","0,019","0,004","0,002","0,002","0,003","0,043","0,227","0,092","0,077","0,046","0,004","0,002","0,002","0,002","0,005","0,002","0,003","0,002","0,014","0,019","0,002","0,003","0,008","0,006","0,007","0,004","0,002","0,003","0,016","0,018","0,002","0,002","0,002","0,003","0,002","0,002","0,002","0,002","0,003","0,021","0,013","0,003","0,027","0,019","0,028","0,016","0,009","0,009","0,012","0,028","0,019","0,009","0,01","0,009","0,009","0,01","0,01","0,009"
2019/01/07,"0,02","0,026","0,013","0,009","0,003","0,002","0,003","0,002","0,003","0,002","0,015","0,019","0,004","0,003","0,002","0,003","0,002","0,003","0,003","0,002","0,01","0,02","0,008","0,003","0,002","0,01","0,011","0,013","0,013","0,013","0,013","0,03","0,019","0,003","0,003","0,01","0,012","0,01","0,002","0,002","0,003","0,01","0,021","0,014","0,003","0,003","0,011","0,004","0,002","0,002","0,002","0,003","0,007","0,02","0,01","0,007","0,007","0,007","0,008","0,025","0,038","0,017","0,002","0,003","0,002","0,005","0,002","0,002","0,01","0,021","0,033","0,037","0,031","0,032","0,03","0,032","0,192","0,126","0,034","0,05","0,053","0,055","0,019","0,008","0,01","0,009","0,003","0,008","0,009","0,01","0,019","0,026","0,014","0,009","0,009","0,01"
2019/01/08,"0,006","0,007","0,004","0,002","0,002","0,002","0,006","0,007","0,004","0,002","0,002","0,002","0,005","0,007","0,005","0,002","0,002","0,003","0,003","0,007","0,006","0,003","0,002","0,002","0,002","0,008","0,009","0,004","0,001","0,001",0,"0,014","0,005","0,004","0,002","0,001","0,002","0,005","0,051","0,015","0,006","0,004","0,004","0,057","0,021","0,005","0,003","0,002","0,001","0,002","0,003","0,004","0,005","0,021","0,118","0,099","0,05","0,007","0,005","0,005","0,007","0,008","0,007","0,007","0,007","0,002","0,005","0,005","0,001","0,002","0,001","0,006","0,011","0,005","0,004","0,004","0,004","0,005","0,003","0,003","0,003","0,02","0,027","0,032","0,027","0,028","0,029","0,028","0,027","0,027","0,008","0,006","0,016","0,073","0,011","0,011"
2019/01/09,"0,008","0,006","0,017","0,008","0,002","0,002","0,003","0,002","0,002","0,002","0,003","0,018","0,017","0,003","0,002","0,002","0,002","0,002","0,002","0,002","0,003","0,008","0,02","0,01","0,002","0,003","0,002","0,003","0,002","0,002","0,002","0,002","0,017","0,031","0,008","0,026","0,018","0,013","0,021","0,021","0,002","0,016","0,021","0,006","0,002","0,002","0,002","0,002","0,002","0,003","0,006","0,02","0,011","0,008","0,027","0,281","0,076","0,031","0,034","0,02","0,017","0,007","0,018","0,02","0,021","0,026","0,025","0,008","0,002","0,002","0,002","0,003","0,002","0,002","0,002","0,02","0,014","0,003","0,002","0,002","0,016","0,019","0,013","0,057","0,02","0,027","0,011","0,004","0,009","0,009","0,002","0,005","0,01","0,009","0,014","0,027"
2019/01/10,"0,018","0,009","0,009","0,009","0,009","0,003","0,002","0,002","0,004","0,021","0,013","0,003","0,002","0,002","0,002","0,002","0,002","0,003","0,002","0,017","0,018","0,003","0,003","0,002","0,015","0,025","0,018","0,013","0,015","0,03","0,028","0,027","0,009","0,009","0,008","0,019","0,02","0,005","0,024","0,016","0,002","0,002","0,002","0,003","0,01","0,024","0,03","0,024","0,036","0,277","0,127","0,007","0,023","0,042","0,035","0,016","0,008","0,003","0,002","0,003","0,004","0,012","0,025","0,012","0,022","0,029","0,004","0,003","0,002","0,003","0,002","0,015","0,019","0,004","0,002","0,003","0,002","0,002","0,002","0,002","0,016","0,037","0,025","0,008","0,003","0,002","0,002","0,002","0,002","0,003","0,002","0,003","0,021","0,015","0,002","0,002"
